TransactionID,UserID,CourseID,TransactionDate
T00092,U02790,C035,2023-01-12 20:06:41
T00093,U01893,C041,2023-01-13 08:59:32
T00094,U00362,C021,2023-01-13 11:45:28
T00095,U00661,C015,2023-01-13 13:26:58
T00096,U00966,C031,2023-01-13 14:54:46
T00097,U01272,C034,2023-01-13 15:49:51
T00098,U02155,C006,2023-01-13 16:55:18
T00099,U00813,C019,2023-01-13 16:58:06
T00100,U00092,C048,2023-01-13 23:47:41
T00101,U01640,C022,2023-01-13 23:48:18
T00102,U00075,C032,2023-01-14 09:00:54
T00103,U02701,C013,2023-01-14 09:30:20
T00104,U01967,C009,2023-01-14 12:51:02
T00105,U00869,C027,2023-01-14 16:56:40
T00106,U02057,C034,2023-01-14 18:07:39
T00107,U01655,C006,2023-01-14 20:12:16
T00108,U02433,C011,2023-01-14 21:50:16
T00109,U02400,C033,2023-01-14 22:38:36
T00110,U01965,C022,2023-01-14 22:41:33
T00111,U00621,C001,2023-01-14 23:50:01
T00112,U01007,C006,2023-01-15 08:43:32
T00113,U01579,C038,2023-01-15 09:32:55
T00114,U02738,C047,2023-01-15 09:51:37
T00115,U01238,C002,2023-01-15 10:18:14
T00116,U02333,C017,2023-01-15 13:02:07
T00117,U02068,C038,2023-01-15 15:05:21
T00118,U00538,C021,2023-01-15 16:12:01
T00119,U02411,C048,2023-01-15 17:59:32
T00120,U01995,C030,2023-01-15 18:19:05
T00121,U00127,C002,2023-01-15 19:04:50
T00122,U00588,C006,2023-01-15 19:11:00
T00123,U02560,C031,2023-01-16 08:18:57
T00124,U00712,C025,2023-01-16 10:02:34
T00125,U00985,C004,2023-01-16 11:48:48
T00126,U01809,C032,2023-01-16 14:59:38
T00127,U00466,C019,2023-01-16 16:49:03
T00128,U00833,C011,2023-01-16 18:27:28
T00129,U00971,C037,2023-01-16 20:06:08
T00130,U02290,C036,2023-01-16 20:24:37
T00131,U02139,C028,2023-01-17 08:42:16
T00132,U00105,C018,2023-01-17 12:31:00
T00133,U02787,C006,2023-01-17 13:12:57
T00134,U01710,C026,2023-01-17 14:31:13
T00135,U01372,C031,2023-01-17 14:45:11
T00136,U00958,C040,2023-01-17 20:41:41
T00137,U00704,C044,2023-01-18 11:10:40
T00138,U00931,C018,2023-01-18 14:16:57
T00139,U01414,C004,2023-01-18 14:17:18
T00140,U01398,C006,2023-01-18 15:03:49
T00141,U02295,C020,2023-01-18 17:39:05
T00142,U01512,C032,2023-01-18 18:32:34
T00143,U00349,C041,2023-01-18 23:08:32
T00144,U01489,C017,2023-01-19 11:24:32
T00145,U00687,C047,2023-01-19 13:57:09
T00146,U02125,C044,2023-01-19 14:08:51
T00147,U01351,C046,2023-01-19 14:27:33
T00148,U00060,C002,2023-01-19 17:08:06
T00149,U02827,C044,2023-01-19 17:28:50
T00150,U00767,C047,2023-01-19 19:12:05
T00151,U00195,C044,2023-01-19 20:47:08
T00152,U00251,C049,2023-01-19 21:25:15
T00153,U01164,C004,2023-01-20 08:57:11
T00154,U00701,C038,2023-01-20 11:35:14
T00155,U01655,C026,2023-01-20 23:22:21
T00156,U02391,C004,2023-01-21 09:37:22
T00157,U02246,C030,2023-01-21 09:54:21
T00158,U02163,C013,2023-01-21 10:58:48
T00159,U02844,C041,2023-01-21 14:26:05
T00160,U01885,C010,2023-01-21 17:21:24
T00161,U00239,C046,2023-01-21 17:29:40
T00162,U02604,C038,2023-01-21 18:51:15
T00163,U01475,C031,2023-01-21 20:27:49
T00164,U00842,C002,2023-01-21 22:46:52
T00165,U00608,C039,2023-01-21 23:32:51
T00166,U00059,C035,2023-01-22 08:43:00
T00167,U01054,C037,2023-01-22 12:18:02
T00168,U00482,C013,2023-01-22 12:31:41
T00169,U01113,C028,2023-01-22 13:59:18
T00170,U00169,C039,2023-01-22 15:33:25
T00171,U00188,C013,2023-01-22 21:16:12
T00172,U00403,C027,2023-01-22 21:25:11
T00173,U01032,C029,2023-01-22 21:38:47
T00174,U00532,C008,2023-01-22 22:16:23
T00175,U02651,C017,2023-01-23 13:11:46
T00176,U02112,C045,2023-01-23 13:12:52
T00177,U01218,C031,2023-01-23 14:22:40
T00178,U01373,C041,2023-01-23 17:53:14
T00179,U01176,C030,2023-01-23 19:23:09
T00180,U01060,C046,2023-01-23 19:40:38
T00181,U02141,C001,2023-01-23 19:42:03
T00182,U02835,C012,2023-01-23 20:07:32
T00183,U02398,C048,2023-01-23 21:17:34
T00184,U02558,C032,2023-01-24 09:22:15
T00185,U00617,C034,2023-01-24 10:40:13
T00186,U01413,C009,2023-01-24 11:34:29
T00187,U00946,C028,2023-01-24 11:46:24
T00188,U02535,C017,2023-01-24 16:28:40
T00189,U00993,C013,2023-01-24 17:54:53
T00190,U01579,C006,2023-01-24 18:50:34
T00191,U01016,C003,2023-01-24 19:15:47
T00192,U01751,C006,2023-01-24 19:39:58
T00193,U01131,C012,2023-01-24 21:17:16
T00194,U02977,C016,2023-01-24 21:30:16
T00195,U02782,C014,2023-01-24 21:59:15
T00196,U01545,C045,2023-01-24 23:19:36
T00197,U00258,C043,2023-01-25 08:14:05
T00198,U02379,C012,2023-01-25 08:40:51
T00199,U00387,C004,2023-01-25 10:31:56
T00200,U00704,C013,2023-01-25 11:55:13
T00201,U02928,C005,2023-01-25 12:04:36
T00202,U02466,C029,2023-01-25 12:12:20
T00203,U01360,C040,2023-01-25 16:05:55
T00204,U01420,C016,2023-01-25 16:51:47
T00205,U00214,C047,2023-01-25 18:26:22
T00206,U00759,C028,2023-01-25 18:56:43
T00207,U02427,C004,2023-01-25 22:27:56
T00208,U00583,C002,2023-01-25 22:43:06
T00209,U01688,C041,2023-01-25 22:48:06
T00210,U01715,C012,2023-01-26 08:40:44
T00211,U02589,C018,2023-01-26 09:55:10
T00212,U01468,C038,2023-01-26 12:31:12
T00213,U01720,C002,2023-01-26 14:08:33
T00214,U00503,C048,2023-01-26 14:24:57
T00215,U02343,C028,2023-01-26 16:03:10
T00216,U00965,C031,2023-01-26 17:09:47
T00217,U02717,C006,2023-01-26 20:50:52
T00218,U01136,C026,2023-01-26 20:52:00
T00219,U02041,C022,2023-01-26 21:13:46
T00220,U01786,C002,2023-01-27 09:04:31
T00221,U01911,C003,2023-01-27 13:15:38
T00222,U00927,C047,2023-01-27 13:52:31
T00223,U01596,C004,2023-01-27 14:05:51
T00224,U01614,C046,2023-01-27 14:08:14
T00225,U02103,C034,2023-01-27 15:39:07
T00226,U01664,C013,2023-01-27 15:53:44
T00227,U01869,C014,2023-01-27 16:55:12
T00228,U00454,C006,2023-01-27 17:59:51
T00229,U02646,C002,2023-01-27 20:06:22
T00230,U01389,C026,2023-01-27 21:01:00
T00231,U00782,C024,2023-01-27 21:04:58
T00232,U02667,C031,2023-01-27 23:06:08
T00233,U02800,C020,2023-01-28 08:35:00
T00234,U01153,C003,2023-01-28 13:25:57
T00235,U02040,C013,2023-01-28 15:30:01
T00236,U00372,C048,2023-01-28 16:21:33
T00237,U02045,C025,2023-01-28 16:50:05
T00238,U02135,C011,2023-01-28 23:18:31
T00239,U00731,C013,2023-01-28 23:36:19
T00240,U00841,C012,2023-01-29 08:30:41
T00241,U02616,C004,2023-01-29 11:17:11
T00242,U01614,C049,2023-01-29 12:51:09
T00243,U02496,C026,2023-01-29 18:27:49
T00244,U00535,C022,2023-01-29 18:41:45
T00245,U02854,C020,2023-01-29 20:37:59
T00246,U01086,C036,2023-01-29 21:23:03
T00247,U00497,C022,2023-01-29 23:31:11
T00248,U00078,C012,2023-01-30 10:23:52
T00249,U00473,C028,2023-01-30 10:34:14
T00250,U02300,C004,2023-01-30 10:42:29
T00251,U01943,C041,2023-01-30 16:22:14
T00252,U00456,C017,2023-01-30 21:39:58
T00253,U02657,C012,2023-01-30 23:02:23
T00254,U02440,C047,2023-01-30 23:22:45
T00255,U00020,C032,2023-01-30 23:36:38
T00256,U00339,C004,2023-01-31 08:35:17
T00257,U02260,C029,2023-01-31 11:21:25
T00258,U02666,C017,2023-01-31 13:27:10
T00259,U01542,C017,2023-01-31 15:14:44
T00260,U01350,C032,2023-01-31 16:49:06
T00261,U01333,C045,2023-01-31 19:21:26
T00262,U00866,C046,2023-01-31 20:38:51
T00263,U00913,C002,2023-01-31 20:47:23
T00264,U02200,C003,2023-01-31 21:57:01
T00265,U00070,C037,2023-01-31 22:18:16
T00266,U02798,C037,2023-02-01 08:28:17
T00267,U01305,C009,2023-02-01 09:51:00
T00268,U02622,C015,2023-02-01 11:31:33
T00269,U00172,C018,2023-02-01 13:14:04
T00270,U01563,C008,2023-02-01 14:39:32
T00271,U02335,C026,2023-02-01 17:11:06
T00272,U02367,C013,2023-02-01 22:07:58
T00273,U00659,C027,2023-02-01 23:07:54
T00274,U02989,C026,2023-02-02 08:51:08
T00275,U02600,C033,2023-02-02 09:34:47
T00276,U02196,C037,2023-02-02 13:25:48
T00277,U01371,C044,2023-02-02 14:40:56
T00278,U02435,C013,2023-02-02 22:35:22
T00279,U02323,C045,2023-02-03 09:12:01
T00280,U01720,C017,2023-02-03 09:30:30
T00281,U02342,C026,2023-02-03 10:56:47
T00282,U01656,C025,2023-02-03 13:20:01
T00283,U02691,C045,2023-02-03 15:20:13
T00284,U01755,C007,2023-02-03 16:44:54
T00285,U02720,C014,2023-02-03 18:03:09
T00286,U02555,C016,2023-02-03 18:54:06
T00287,U01074,C031,2023-02-03 21:09:00
T00288,U01513,C004,2023-02-03 22:10:59
T00289,U01959,C003,2023-02-04 13:49:17
T00290,U00553,C003,2023-02-04 16:40:43
T00291,U00579,C027,2023-02-04 17:10:57
T00292,U00535,C002,2023-02-04 17:30:57
T00293,U02428,C007,2023-02-04 20:01:06
T00294,U01882,C038,2023-02-04 20:19:52
T00295,U01626,C006,2023-02-04 22:53:07
T00296,U01470,C020,2023-02-04 23:02:16
T00297,U00482,C046,2023-02-05 08:30:58
T00298,U01437,C019,2023-02-05 08:49:10
T00299,U02335,C003,2023-02-05 10:18:01
T00300,U00891,C003,2023-02-05 10:56:13
T00301,U02016,C010,2023-02-05 12:09:46
T00302,U02561,C006,2023-02-05 13:51:00
T00303,U02815,C026,2023-02-05 14:52:28
T00304,U02150,C040,2023-02-05 15:33:12
T00305,U02187,C043,2023-02-05 18:22:03
T00306,U02045,C001,2023-02-05 19:50:05
T00307,U02552,C030,2023-02-05 20:20:16
T00308,U02278,C015,2023-02-05 22:24:39
T00309,U00745,C003,2023-02-06 09:19:24
T00310,U01967,C015,2023-02-06 14:04:38
T00311,U01350,C026,2023-02-06 15:19:31
T00312,U02347,C042,2023-02-06 17:02:15
T00313,U02315,C030,2023-02-06 22:47:47
T00314,U02078,C026,2023-02-07 08:41:13
T00315,U02486,C001,2023-02-07 11:34:43
T00316,U02064,C001,2023-02-07 11:57:25
T00317,U00239,C004,2023-02-07 12:55:10
T00318,U02913,C038,2023-02-07 13:02:59
T00319,U02305,C014,2023-02-07 15:46:06
T00320,U00348,C008,2023-02-07 16:38:36
T00321,U01286,C031,2023-02-07 17:04:34
T00322,U02506,C025,2023-02-07 19:35:41
T00323,U01044,C019,2023-02-07 23:23:21
T00324,U00898,C014,2023-02-08 08:14:01
T00325,U02546,C044,2023-02-08 08:41:01
T00326,U02450,C012,2023-02-08 09:19:20
T00327,U00224,C032,2023-02-08 12:03:33
T00328,U02323,C038,2023-02-08 16:19:15
T00329,U00142,C035,2023-02-08 16:26:24
T00330,U00522,C006,2023-02-08 19:28:31
T00331,U00334,C025,2023-02-08 20:14:24
T00332,U01585,C046,2023-02-08 21:09:16
T00333,U01339,C003,2023-02-08 21:23:05
T00334,U01030,C018,2023-02-08 23:51:43
T00335,U02461,C022,2023-02-09 08:01:04
T00336,U00716,C004,2023-02-09 09:48:41
T00337,U00156,C028,2023-02-09 10:46:04
T00338,U01696,C037,2023-02-09 11:51:59
T00339,U01408,C001,2023-02-09 19:33:38
T00340,U00815,C009,2023-02-09 19:42:10
T00341,U00272,C035,2023-02-09 20:50:15
T00342,U00345,C013,2023-02-09 21:26:19
T00343,U01694,C028,2023-02-09 22:45:54
T00344,U00150,C045,2023-02-10 11:12:46
T00345,U02749,C031,2023-02-10 13:00:55
T00346,U02940,C048,2023-02-10 16:47:26
T00347,U02226,C033,2023-02-10 17:19:16
T00348,U01218,C016,2023-02-10 17:45:38
T00349,U02115,C048,2023-02-10 20:00:10
T00350,U00004,C041,2023-02-10 21:44:35
T00351,U00750,C038,2023-02-11 11:17:03
T00352,U02771,C046,2023-02-11 18:49:47
T00353,U01750,C004,2023-02-11 18:54:05
T00354,U02823,C003,2023-02-11 20:09:50
T00355,U02431,C006,2023-02-11 20:30:45
T00356,U01342,C037,2023-02-11 21:26:32
T00357,U01798,C003,2023-02-11 21:39:07
T00358,U01488,C032,2023-02-11 22:02:04
T00359,U00505,C003,2023-02-11 22:11:24
T00360,U01964,C003,2023-02-11 23:43:48
T00361,U01166,C040,2023-02-12 08:34:01
T00362,U02626,C009,2023-02-12 08:44:33
T00363,U01597,C032,2023-02-12 10:41:41
T00364,U00179,C014,2023-02-12 12:50:37
T00365,U02124,C013,2023-02-12 12:52:11
T00366,U02871,C044,2023-02-12 15:50:37
T00367,U01126,C013,2023-02-12 18:04:20
T00368,U00502,C012,2023-02-12 18:14:49
T00369,U00223,C041,2023-02-12 18:31:57
T00370,U00848,C031,2023-02-12 19:21:14
T00371,U00319,C009,2023-02-12 20:32:27
T00372,U00489,C020,2023-02-12 22:15:59
T00373,U01261,C017,2023-02-13 08:18:29
T00374,U01075,C023,2023-02-13 11:31:10
T00375,U02278,C045,2023-02-13 11:44:37
T00376,U01637,C019,2023-02-13 12:13:28
T00377,U01623,C011,2023-02-13 16:34:28
T00378,U02743,C035,2023-02-13 16:44:22
T00379,U01567,C037,2023-02-13 20:03:06
T00380,U02072,C003,2023-02-13 21:13:39
T00381,U01414,C035,2023-02-13 21:37:46
T00382,U00414,C031,2023-02-13 21:50:27
T00383,U00648,C004,2023-02-14 09:21:59
T00384,U01553,C027,2023-02-14 13:31:00
T00385,U00248,C032,2023-02-14 13:37:38
T00386,U02120,C012,2023-02-14 14:59:46
T00387,U00456,C004,2023-02-14 16:21:17
T00388,U01877,C046,2023-02-14 16:56:08
T00389,U02775,C032,2023-02-14 17:44:04
T00390,U02843,C015,2023-02-14 22:12:16
T00391,U02827,C003,2023-02-15 08:16:31
T00392,U01073,C029,2023-02-15 09:34:44
T00393,U01100,C033,2023-02-15 11:04:13
T00394,U02119,C046,2023-02-15 14:28:27
T00395,U02162,C009,2023-02-15 14:31:13
T00396,U01298,C041,2023-02-15 15:01:59
T00397,U01670,C031,2023-02-15 15:20:34
T00398,U01999,C032,2023-02-15 17:15:39
T00399,U00675,C013,2023-02-15 23:19:09
T00400,U01671,C018,2023-02-15 23:34:20
T00401,U02946,C011,2023-02-16 08:13:43
T00402,U01858,C020,2023-02-16 08:19:49
T00403,U02869,C038,2023-02-16 08:48:46
T00404,U02016,C045,2023-02-16 10:18:49
T00405,U00167,C013,2023-02-16 10:33:16
T00406,U01758,C035,2023-02-16 11:48:02
T00407,U02484,C009,2023-02-16 12:04:50
T00408,U01382,C037,2023-02-16 13:34:13
T00409,U01176,C003,2023-02-16 18:07:00
T00410,U00432,C029,2023-02-16 19:02:02
T00411,U02350,C013,2023-02-16 19:23:18
T00412,U02687,C019,2023-02-16 19:27:44
T00413,U00913,C005,2023-02-16 20:31:19
T00414,U01645,C039,2023-02-16 20:38:33
T00415,U02254,C014,2023-02-16 22:31:39
T00416,U02119,C045,2023-02-17 13:39:53
T00417,U02827,C045,2023-02-17 17:30:57
T00418,U01849,C028,2023-02-17 20:13:11
T00419,U02656,C009,2023-02-17 20:14:36
T00420,U02151,C002,2023-02-17 20:39:43
T00421,U02549,C016,2023-02-17 20:48:54
T00422,U00886,C014,2023-02-18 09:26:32
T00423,U02557,C027,2023-02-18 09:41:57
T00424,U00123,C016,2023-02-18 10:11:11
T00425,U00334,C049,2023-02-18 11:57:20
T00426,U00269,C009,2023-02-18 17:59:20
T00427,U02054,C038,2023-02-18 19:01:42
T00428,U01799,C003,2023-02-18 21:15:13
T00429,U00754,C048,2023-02-18 21:58:35
T00430,U02726,C048,2023-02-18 23:39:39
T00431,U02581,C017,2023-02-19 09:17:59
T00432,U02057,C027,2023-02-19 09:50:53
T00433,U00333,C013,2023-02-19 12:44:44
T00434,U02222,C025,2023-02-19 16:04:12
T00435,U02981,C007,2023-02-19 22:05:59
T00436,U01437,C048,2023-02-20 08:13:40
T00437,U01220,C013,2023-02-20 08:31:55
T00438,U02691,C034,2023-02-20 09:44:23
T00439,U02256,C013,2023-02-20 15:23:03
T00440,U02094,C041,2023-02-20 21:16:44
T00441,U02120,C007,2023-02-21 08:12:25
T00442,U02748,C048,2023-02-21 08:44:34
T00443,U02351,C003,2023-02-21 11:51:50
T00444,U00940,C003,2023-02-21 12:01:38
T00445,U02533,C038,2023-02-21 12:11:28
T00446,U02642,C028,2023-02-21 13:00:18
T00447,U01649,C013,2023-02-21 13:01:40
T00448,U01063,C025,2023-02-21 16:11:16
T00449,U01323,C003,2023-02-21 17:21:36
T00450,U02738,C028,2023-02-21 18:24:25
T00451,U00632,C012,2023-02-21 18:29:44
T00452,U01596,C046,2023-02-21 19:30:16
T00453,U02353,C036,2023-02-21 21:33:02
T00454,U01219,C024,2023-02-21 22:09:00
T00455,U01895,C019,2023-02-21 23:11:57
T00456,U02374,C038,2023-02-21 23:30:36
T00457,U02855,C010,2023-02-22 08:44:02
T00458,U02001,C046,2023-02-22 09:08:18
T00459,U01726,C009,2023-02-22 09:36:00
T00460,U01168,C008,2023-02-22 12:17:17
T00461,U01946,C037,2023-02-22 13:05:39
T00462,U02223,C046,2023-02-22 13:12:22
T00463,U00076,C020,2023-02-22 13:21:22
T00464,U01024,C040,2023-02-22 16:14:30
T00465,U02292,C003,2023-02-22 23:09:31
T00466,U00069,C017,2023-02-22 23:58:13
T00467,U00493,C007,2023-02-23 14:07:33
T00468,U01074,C008,2023-02-23 15:01:14
T00469,U00510,C015,2023-02-23 21:13:08
T00470,U01165,C022,2023-02-23 23:39:38
T00471,U01629,C010,2023-02-24 08:12:46
T00472,U00762,C041,2023-02-24 08:43:11
T00473,U02271,C017,2023-02-24 10:59:53
T00474,U02252,C009,2023-02-24 13:01:59
T00475,U01210,C037,2023-02-24 16:23:06
T00476,U00750,C021,2023-02-24 18:29:35
T00477,U02570,C036,2023-02-24 23:57:11
T00478,U01100,C026,2023-02-25 08:48:58
T00479,U01372,C045,2023-02-25 09:26:44
T00480,U02333,C049,2023-02-25 09:28:08
T00481,U00890,C007,2023-02-25 10:42:52
T00482,U01053,C011,2023-02-25 11:58:27
T00483,U01136,C003,2023-02-25 14:04:46
T00484,U00629,C002,2023-02-25 15:19:13
T00485,U02478,C020,2023-02-25 16:49:39
T00486,U00810,C048,2023-02-25 18:51:47
T00487,U01935,C001,2023-02-25 20:53:28
T00488,U01290,C009,2023-02-25 21:16:12
T00489,U01124,C028,2023-02-26 08:09:54
T00490,U02959,C009,2023-02-26 09:25:36
T00491,U00760,C021,2023-02-26 12:41:59
T00492,U02599,C030,2023-02-26 12:58:53
T00493,U01815,C007,2023-02-26 18:06:59
T00494,U00709,C013,2023-02-26 19:00:52
T00495,U00060,C044,2023-02-26 20:32:37
T00496,U01734,C002,2023-02-26 20:49:36
T00497,U02742,C032,2023-02-26 23:18:44
T00498,U01914,C019,2023-02-26 23:21:34
T00499,U02310,C012,2023-02-27 13:11:09
T00500,U01242,C008,2023-02-27 14:19:19
T00501,U00866,C041,2023-02-27 15:33:21
T00502,U02350,C004,2023-02-27 21:53:11
T00503,U01518,C038,2023-02-28 08:13:36
T00504,U00117,C012,2023-02-28 08:24:09
T00505,U00319,C002,2023-02-28 12:48:08
T00506,U01376,C003,2023-02-28 12:49:56
T00507,U01907,C010,2023-02-28 13:24:35
T00508,U02293,C001,2023-02-28 13:58:23
T00509,U02144,C044,2023-02-28 14:15:26
T00510,U00283,C034,2023-02-28 15:20:46
T00511,U01320,C010,2023-02-28 16:10:24
T00512,U01504,C004,2023-02-28 18:20:22
T00513,U02097,C012,2023-02-28 18:31:14
T00514,U00627,C034,2023-02-28 19:57:51
T00515,U02690,C041,2023-02-28 20:17:36
T00516,U02795,C046,2023-02-28 20:34:24
T00517,U00610,C047,2023-02-28 20:51:14
T00518,U02163,C022,2023-02-28 23:48:20
T00519,U02682,C050,2023-03-01 08:08:26
T00520,U02972,C017,2023-03-01 10:07:16
T00521,U02852,C031,2023-03-01 11:22:27
T00522,U01747,C021,2023-03-01 21:03:12
T00523,U01152,C012,2023-03-01 21:15:35
T00524,U01636,C011,2023-03-01 21:25:37
T00525,U00334,C006,2023-03-01 23:55:38
T00526,U00241,C026,2023-03-02 08:08:46
T00527,U00289,C038,2023-03-02 11:02:36
T00528,U02485,C016,2023-03-02 11:29:31
T00529,U02566,C005,2023-03-02 11:32:27
T00530,U01332,C031,2023-03-02 15:22:06
T00531,U01464,C013,2023-03-02 17:52:43
T00532,U00275,C035,2023-03-03 10:15:10
T00533,U02562,C026,2023-03-03 10:51:22
T00534,U00748,C031,2023-03-03 11:03:12
T00535,U02220,C026,2023-03-03 12:38:08
T00536,U00906,C029,2023-03-03 14:15:32
T00537,U01739,C029,2023-03-03 15:25:08
T00538,U02151,C011,2023-03-03 17:46:10
T00539,U01751,C012,2023-03-03 18:37:57
T00540,U02426,C022,2023-03-03 19:14:59
T00541,U02534,C048,2023-03-04 11:21:13
T00542,U01604,C002,2023-03-04 13:23:56
T00543,U01021,C004,2023-03-04 13:25:22
T00544,U01931,C032,2023-03-04 15:15:29
T00545,U00730,C030,2023-03-04 17:13:11
T00546,U02810,C027,2023-03-04 18:30:19
T00547,U01205,C014,2023-03-04 19:24:28
T00548,U02099,C013,2023-03-04 21:55:02
T00549,U02708,C035,2023-03-04 22:21:54
T00550,U00841,C030,2023-03-05 12:55:25
T00551,U01880,C036,2023-03-05 19:35:59
T00552,U00318,C004,2023-03-05 20:28:48
T00553,U00047,C002,2023-03-05 23:58:42
T00554,U00096,C017,2023-03-06 08:21:22
T00555,U01159,C026,2023-03-06 08:40:37
T00556,U02286,C045,2023-03-06 08:56:02
T00557,U02745,C009,2023-03-06 13:01:23
T00558,U00417,C011,2023-03-06 13:19:25
T00559,U00179,C013,2023-03-06 13:39:42
T00560,U01276,C046,2023-03-06 14:05:37
T00561,U02924,C035,2023-03-06 14:11:26
T00562,U02511,C029,2023-03-06 14:55:54
T00563,U01838,C041,2023-03-06 15:09:55
T00564,U00341,C005,2023-03-06 15:26:15
T00565,U01867,C006,2023-03-06 16:45:18
T00566,U01048,C035,2023-03-06 20:05:56
T00567,U02804,C003,2023-03-06 20:56:00
T00568,U02017,C018,2023-03-06 23:27:26
T00569,U00067,C026,2023-03-07 08:19:26
T00570,U02448,C024,2023-03-07 11:00:41
T00571,U01957,C027,2023-03-07 13:34:07
T00572,U00821,C027,2023-03-07 14:54:34
T00573,U00550,C007,2023-03-07 15:01:07
T00574,U01862,C033,2023-03-07 16:29:59
T00575,U02061,C020,2023-03-07 17:47:19
T00576,U00988,C012,2023-03-07 18:07:02
T00577,U02560,C049,2023-03-07 18:59:58
T00578,U02779,C016,2023-03-07 20:12:55
T00579,U01880,C016,2023-03-07 20:33:42
T00580,U02807,C003,2023-03-08 09:01:53
T00581,U01372,C019,2023-03-08 16:39:24
